dataset,method,accuracy,runtime_s,train_size,test_size,n_classes
Adiac,euclidean,0.5498721227621484,0.0705049037933349,390,391,37
Adiac,sdtw,0.639386189258312,16.210004329681396,390,391,37
Adiac,sdtw_div,0.6726342710997443,49.08092999458313,390,391,37
Adiac,sharp_sdtw,0.6675191815856778,20.199450254440308,390,391,37
Adiac,sharp_sdtw_div,0.6726342710997443,59.955004930496216,390,391,37
Adiac,mean_cost,0.4424552429667519,5.818408727645874,390,391,37
Adiac,mean_cost_div,0.4654731457800511,15.252431631088257,390,391,37
Adiac,dtw_approx,0.6751918158567775,15.204959392547607,390,391,37
ArrowHead,euclidean,0.6114285714285714,0.0028746128082275,36,175,3
ArrowHead,sdtw,0.6,1.3170828819274902,36,175,3
ArrowHead,sdtw_div,0.6,4.831402540206909,36,175,3
ArrowHead,sharp_sdtw,0.6057142857142858,2.7352585792541504,36,175,3
ArrowHead,sharp_sdtw_div,0.6114285714285714,17.33526372909546,36,175,3
ArrowHead,mean_cost,0.5885714285714285,0.4812178611755371,36,175,3
ArrowHead,mean_cost_div,0.5942857142857143,1.178802490234375,36,175,3
ArrowHead,dtw_approx,0.6971428571428572,1.4739444255828855,36,175,3
Beef,euclidean,0.5333333333333333,0.0010161399841308,30,30,5
Beef,sdtw,0.5333333333333333,2.1050195693969727,30,30,5
Beef,sdtw_div,0.5,13.133825540542604,30,30,5
Beef,sharp_sdtw,0.4666666666666667,13.053408861160278,30,30,5
Beef,sharp_sdtw_div,0.4666666666666667,66.8766074180603,30,30,5
Beef,mean_cost,0.0,4.788535118103027,30,30,5
Beef,mean_cost_div,0.0,14.126906633377075,30,30,5
Beef,dtw_approx,0.5666666666666667,3.842051982879639,30,30,5
BeetleFly,euclidean,0.85,0.0005326271057128,20,20,2
BeetleFly,sdtw,0.7,2.72776746749878,20,20,2
BeetleFly,sdtw_div,0.75,26.25213408470153,20,20,2
BeetleFly,sharp_sdtw,0.65,7.08190393447876,20,20,2
BeetleFly,sharp_sdtw_div,0.75,55.64426231384277,20,20,2
BeetleFly,mean_cost,0.0,4.463436603546143,20,20,2
BeetleFly,mean_cost_div,0.0,11.131826639175417,20,20,2
BeetleFly,dtw_approx,0.7,4.486751794815064,20,20,2
BirdChicken,euclidean,0.55,0.0004606246948242,20,20,2
BirdChicken,sdtw,0.55,1.4632251262664795,20,20,2
BirdChicken,sdtw_div,0.6,26.015415906906128,20,20,2
BirdChicken,sharp_sdtw,0.65,7.803038358688354,20,20,2
BirdChicken,sharp_sdtw_div,0.6,77.61374807357788,20,20,2
BirdChicken,mean_cost,0.0,4.472444772720337,20,20,2
BirdChicken,mean_cost_div,0.0,11.569386959075928,20,20,2
BirdChicken,dtw_approx,0.65,3.99530029296875,20,20,2
Car,euclidean,0.6166666666666667,0.0017437934875488,60,60,4
Car,sdtw,0.7,5.235135316848755,60,60,4
Car,sdtw_div,0.7333333333333333,25.430633306503296,60,60,4
Car,sharp_sdtw,0.6833333333333333,16.1181583404541,60,60,4
Car,sharp_sdtw_div,0.7,114.44697761535645,60,60,4
Car,mean_cost,0.0,16.13785219192505,60,60,4
Car,mean_cost_div,0.0,56.30416226387024,60,60,4
Car,dtw_approx,0.6666666666666666,5.92147159576416,60,60,4
CBF,euclidean,0.7633333333333333,0.0121457576751708,30,900,3
CBF,sdtw,0.9488888888888888,1.6938998699188232,30,900,3
CBF,sdtw_div,0.9488888888888888,6.125558137893677,30,900,3
CBF,sharp_sdtw,0.9555555555555556,2.0396764278411865,30,900,3
CBF,sharp_sdtw_div,0.9555555555555556,7.72492790222168,30,900,3
CBF,mean_cost,0.73,0.5522863864898682,30,900,3
CBF,mean_cost_div,0.7444444444444445,1.5205650329589844,30,900,3
CBF,dtw_approx,0.9511111111111112,2.1061723232269287,30,900,3
ChlorineConcentration,euclidean,0.3330729166666666,0.056269884109497,467,3840,3
ChlorineConcentration,sdtw,0.3192708333333333,12.684712886810305,467,3840,3
