dataset,method,gamma,accuracy,runtime_s,train_size,test_size,n_classes
Adiac,sdtw_div,0.5,0.6879795396419437,50.15156531333923,390,391,37
ArrowHead,sdtw_div,0.5,0.6457142857142857,8.346496820449829,36,175,3
Adiac,sharp_sdtw_div,0.5,0.6751918158567775,63.66283965110779,390,391,37
Adiac,sdtw_div,1.0,0.6726342710997443,49.41094613075256,390,391,37
Adiac,sharp_sdtw_div,1.0,0.6726342710997443,59.84506821632385,390,391,37
Adiac,sdtw_div,3.0,0.6419437340153452,50.042497873306274,390,391,37
Adiac,sharp_sdtw_div,3.0,0.680306905370844,60.22696805000305,390,391,37
Adiac,sdtw_div,5.0,0.6317135549872123,50.19749307632446,390,391,37
Meat,sdtw_div,0.5,0.8833333333333333,5.803213357925415,60,60,3
Meat,sharp_sdtw_div,0.5,0.8833333333333333,8.372773885726929,60,60,3
Meat,sdtw_div,1.0,0.8833333333333333,5.83344292640686,60,60,3
Meat,sharp_sdtw_div,1.0,0.8833333333333333,8.03660774230957,60,60,3
Meat,sdtw_div,3.0,0.8833333333333333,5.824829339981079,60,60,3
FreezerSmallTrain,sdtw_div,0.5,0.7508771929824561,47.32478666305542,28,2850,2
Meat,sharp_sdtw_div,3.0,0.8833333333333333,7.821628570556641,60,60,3
Meat,sdtw_div,5.0,0.9,5.789071083068848,60,60,3
Meat,sharp_sdtw_div,5.0,0.8833333333333333,7.697524309158325,60,60,3
Meat,sdtw_div,7.0,0.9,5.770118474960327,60,60,3
Adiac,sharp_sdtw_div,5.0,0.6675191815856778,60.939056396484375,390,391,37
Meat,sharp_sdtw_div,7.0,0.8833333333333333,7.672538280487059,60,60,3
Meat,sdtw_div,10.0,0.9,5.772002220153809,60,60,3
Meat,sharp_sdtw_div,10.0,0.9,7.607137680053711,60,60,3
FreezerSmallTrain,sharp_sdtw_div,0.5,0.7642105263157895,57.05574822425842,28,2850,2
MedicalImages,sdtw_div,0.5,0.4368421052631579,14.159476280212402,381,760,10
MedicalImages,sharp_sdtw_div,0.5,0.4171052631578947,19.45260429382324,381,760,10
Adiac,sdtw_div,7.0,0.6214833759590793,50.265976905822754,390,391,37
MedicalImages,sdtw_div,1.0,0.4289473684210526,14.755805253982544,381,760,10
FreezerSmallTrain,sdtw_div,1.0,0.7526315789473684,40.15386295318604,28,2850,2
MedicalImages,sharp_sdtw_div,1.0,0.4,19.77651882171631,381,760,10
MedicalImages,sdtw_div,3.0,0.4013157894736842,11.745166778564451,381,760,10
Adiac,sharp_sdtw_div,7.0,0.6547314578005116,60.81383919715881,390,391,37
MedicalImages,sharp_sdtw_div,3.0,0.4263157894736842,19.889707565307617,381,760,10
FreezerSmallTrain,sharp_sdtw_div,1.0,0.7624561403508772,52.0276951789856,28,2850,2
MedicalImages,sdtw_div,5.0,0.3763157894736842,10.422810077667236,381,760,10
MedicalImages,sharp_sdtw_div,5.0,0.3947368421052631,14.907716035842896,381,760,10
MedicalImages,sdtw_div,7.0,0.3697368421052631,10.253717422485352,381,760,10
Adiac,sdtw_div,10.0,0.6010230179028133,50.3121657371521,390,391,37
FreezerSmallTrain,sdtw_div,3.0,0.7533333333333333,41.75697875022888,28,2850,2
MedicalImages,sharp_sdtw_div,7.0,0.3802631578947368,13.364625692367554,381,760,10
MedicalImages,sdtw_div,10.0,0.3644736842105263,7.7178795337677,381,760,10
